comname,year,1,2,3,4,5,6,7,8,9,10,>10
american plaice,1980,17.2,22.902439024390244,26.652542372881356,31.06474820143885,35.983193277310924,40.24,45.08196721311475,47.76190476190476,51.18181818181818,53.5,55.142857142857146
american plaice,1981,13.714285714285714,20.46728971962617,25.5,31.62987012987013,36.776,43.48863636363637,45.01851851851852,47.32258064516129,47.10526315789474,50,53.958333333333336
american plaice,1982,14.3,22.189655172413794,28.813953488372093,32.01298701298701,35.785714285714285,41.11363636363637,45,48.92,51.93333333333333,53.142857142857146,55.625
american plaice,1983,13.521739130434783,19.763636363636362,27.03921568627451,32.20744680851064,35.221311475409834,40.56470588235294,42.94444444444444,47.291666666666664,50.5,52.22222222222222,56.73913043478261
american plaice,1984,12,20.2,26.28985507246377,30.75,35.28431372549019,37.55555555555556,43.6875,49.18181818181818,48,52.5,57
american plaice,1985,15.538461538461538,18.763157894736842,25.384057971014492,29.9247311827957,35.27710843373494,38.41538461538462,43.13333333333333,44.87096774193548,50.6,51,56.77777777777778
american plaice,1986,13.526315789473685,20.434782608695652,26.5,30.404761904761905,34.82608695652174,39.68292682926829,43.666666666666664,46.68421052631579,51,47.5,58.75
american plaice,1987,12.756756756756756,20.233766233766232,26.2875,31.153846153846153,34.878787878787875,37.71875,43.65,48.142857142857146,52,54.5,52.25
american plaice,1988,12.096774193548388,19.252336448598133,27.32116788321168,32.1375,37.46938775510204,39.80769230769231,46,39.5,50.857142857142854,52.5,58.666666666666664
american plaice,1989,12.6,19.241935483870968,26.15,32.189189189189186,35.15,38.07142857142857,44,43.5,46.6,52,52.5
american plaice,1990,12.095238095238095,19.764705882352942,27.0418410041841,32.12101910828026,37.60526315789474,41.55882352941177,47.833333333333336,45.875,49.833333333333336,53.5,52.5
american plaice,1991,13.5,19.246913580246915,26.34188034188034,31.791044776119403,37.44,42.30769230769231,44.5,51.25,50.5,56,55.666666666666664
